,2018,December,,,,,
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,,,,,,,1
,,,,,,,23 ????
,,,,,,,Vayeshev
,,,,,,,Sophomore Shabbaton
,,,,,,,
,,,,,,,
,,,,,,,Havdalah 5:09
,2,3,4,5,6,7,8
,24 ????,25 ????,26 ????,27 ????,28 ????,29 ????,30 ????
,,M Day,C Day,A Day,R Day,E Day,Miketz
,SAT at Ramaz ,,,AM Assembly Schedule,Modified Schedule,,Rosh Chodesh Tevet
,,,Faculty Breakfast,Community,Chanukah Excursion,,
,,,,,,Candle Lighting 4:11,Havdalah 5:08
,Chanukah: 1 Candle,Chanukah: 2 Candles,Chanukah: 3 Candles,Chanukah: 4 Candles,Chanukah: 5 Candles,Chanukah: 6 Candles,Chanukah: 7 Candles
,9,10,11,12,13,14,15
,1 ???,2 ???,3 ???,4 ???,5 ???,6 ???,7 ???
,Rosh Chodesh Tevet,M Day,B Day,C Day,R Day,F Day,Vayigash
,,,Modified Schedule,,AM Assembly Schedule,,
,ACT at Ramaz,,Fall Musical,Parent Liaison Meeting,Advisory,,
,,,,,Alumni Career Showcase for Seniors,,
,Chanukah: 8 Candles,Chanukah: last day,,,,Candle Lighting 4:11,Havdalah 5:10
,16,17,18,19,20,21,22
,8 ???,9 ???,10 ???,11 ???,12 ???,13 ???,14 ???
,,M Day,A Day,B Day,R Day,E Day,Vayechi
,Full School Dinner Rehersal ,,Tzom Schedule,Early Dismissal Schedule,,,
,,,Asarah B'Tevet,Faculty Meeting,,Winter Break Begins,
,,,Fast Begins at 6:03 AM,SFAC,, at Close of Sessions,
,,,Fast Ends at 5:08 PM,,,Candle Lighting 4:14,Havdalah 5:12
,23,24,25,26,27,28,29
,15 ???,16 ???,17 ???,18 ???,19 ???,20 ???,21 ???
,,,,,,,Shemot
,,Winter Break,,,,,
,,,,,,,
,,,,,,,
,,,,,,Candle Lighting 4:18,Havdalah 5:17
,30,31,Notes,,,,
,22 ???,23 ???,,,,,
,,,,,,,
,,Winter Break,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
