2018,August,,,,,
Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Shabbat
,,,1,2,3,4
,,,20 ??,21 ??,22 ??,23 ??
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,6,7,8,9,10,11
24 ??,25 ??,26 ??,27 ??,28 ??,29 ??,30 ??
,,,,,,
,,,,,,Rosh Chodesh Elul
,,,,,,
,,,,,,
,,,,,,
12,13,14,15,16,17,18
1 ????,2 ????,3 ????,4 ????,5 ????,6 ????,7 ????
,,,,,,
Rosh Chodesh Elul,,,,,,
,,,,,,
,,,,,,
,,,,,,
19,20,21,22,23,24,25
8 ????,9 ????,10 ????,11 ????,12 ????,13 ????,14 ????
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26,27,28,29,30,31,
15 ????,16 ????,17 ????,18 ????,19 ????,20 ????,
,,,Faculty and Staff Opening Breakfast, Faculty Meeting Day ,,
SAT at Ramaz,,New Faculty Orientation,,,,
,,,,Freshman Advisor Training/Orientation,,
,,,Faculty BBQ,,,
,,,,,,
,,Notes,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
